0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
(350.4534246941939+13601.342458036479j),(344.7344467163758+1965.161401692505j),(-681.6010994577932+2069.602049944659j),(397.057192199574+868.7588942515158j),(302.3606333738399+1797.8467608849687j),(-16.78385699707576+1878.5428338763663j),(1233.9484923999248+1832.1015970766607j),(381.4732373789926+1865.5949724784407j),(534.5787401825436+1986.813439197012j),(22464.719028106985+971.0839291383627j),(-160.31461382207965+1316.2474871246836j),(472.25349663658596+2106.7928537318053j),(533.0078383105285+2046.351574137736j),(587.6321842888274+2345.4113290066334j),(585.0874210354489+2057.4234903534552j),(261.0430034883778+2526.096975346822j),(348.2232497896895+2060.97107352916j),(538.2651729900394+1972.7078987263458j),(937.1883345486704+2628.6199937871697j),(579.7752787964049+2054.6093129255505j),(-49.13699954928947+2089.037738736489j),(230.49978460688982+2172.9655701329257j),(563.0443985829045+1633.4503823067769j),(6349.866659745627-4646.655134204036j),(423.8239843126901+1851.5720137575372j),(392.0508448100297+1223.1433346116823j),(494.6620144803659+1980.9379296886445j),(829.2295517686113+1402.961831974288j)
(250.9701568283076+13748.685884967268j),(454.53731208603847+1914.7901680170064j),(-279.24653389198716+2133.1220976512313j),(533.8230926960728+1042.9317027050574j),(1291.5851077355728+1903.706270261027j),(-104.71246291289555+1469.3231746412923j),(1041.2996098936528+1749.6172458974688j),(241.40567219622082+1779.7074963048403j),(452.8718882509476+1969.2788714472763j),(24042.63525288456+635.9419209139982j),(-45.222973226910284+1734.5507420442095j),(823.96335575932+2660.310759848032j),(488.993332916003+1913.1177647751824j),(335.9245383372147+2093.5320324540094j),(623.1718208964339+1823.6764886923575j),(321.12694758843656+2180.787569892732j),(594.8106533142138+1839.3952154457288j),(505.16027526017433+2123.4824255290364j),(1024.71391328254+2298.7727815013313j),(658.521102900298+1951.376735664368j),(-71.98303384139305+1698.1630567166494j),(729.7919056150017+1931.9068198029813j),(302.7277029626093+1470.4949571686063j),(6184.3397480663225-4316.565738989895j),(595.6198204714251+1859.4373129212288j),(1355.0572485664557+1974.1301571734512j),(457.65261717946987+1863.6472344246213j),(743.3561085292409+2111.642696239839j)
(942.210850996612+14291.634798199078j),(194.01469878308978+2068.967611802418j),(-570.7800080929218+1717.985699092248j),(71.9581217771987+802.5592713988981j),(147.49295148284193+2196.5647071371905j),(649.4939485512211+2234.3038048715043j),(-182.70730437118624+1965.2382211390986j),(313.934421690965+1899.627887214986j),(304.15995073421675+1892.197768976232j),(25278.835177315734+373.09826434722845j),(-180.93012776484642+1364.6284890402417j),(1009.5875846594946+2111.4282191937314j),(489.16192748071865+1933.4593620343308j),(155.91587928093116+1971.5128367436664j),(267.8283248012402+1941.471260974895j),(242.75902720328565+2192.794275690656j),(329.5973135717844+2062.0201031122406j),(378.1435931412842+1868.7402103482227j),(-157.92215272237942+2298.1914423084318j),(247.86869501056935+2013.989561096373j),(17.032423335715038+1379.6151104618305j),(657.4467249951788+2365.1721701803135j),(-304.8304814615949+1449.0842973295312j),(5929.530621819731-3869.580879918888j),(229.81309547850822+1947.0028570868299j),(60.71034527922271+1572.0302691843722j),(415.97810588195034+1976.5835930983587j),(-150.15069492195045+1318.9870028102114j)
(42.61222044105716+14243.581737028977j),(538.6059816800854+1952.0041993771201j),(-474.7319484736571+1996.3011505594218j),(451.02860047849686+1199.5456778077787j),(467.4577527354426+1017.607376507515j),(191.04206363635637+1193.5502698847363j),(541.6791509268544+2587.1656457039035j),(470.2720951648203+2093.6365656799667j),(256.6335120138385+1969.4041361437792j),(26878.083488755485+434.8807243963782j),(18.48784656919662+1245.6997100672872j),(601.0722360912414+2444.0486527973217j),(470.4830859365504+2345.015430857175j),(385.0656373529474+2577.4780409498567j),(315.29583644495426+1845.8407424945804j),(181.0933807768294+2428.2396179907464j),(134.21307134414633+2065.0578077356845j),(319.76061968562215+2236.802520867009j),(163.63784072570712+2556.5486483859136j),(417.0305736363473+2120.025338986124j),(521.097814831196+1979.2945350330751j),(607.6579789964358+2108.971548283025j),(-9.796836845689143+1599.2337906219695j),(5610.612623270207-3731.189005261558j),(392.1858830111729+2020.660980215349j),(802.2228182097169+2057.963425074219j),(337.6470758533997+2169.932371032828j),(-62.18658236834651+2422.318427993875j)
(537.0554067699959+14060.257943896779j),(606.8583289637112+1658.035272036562j),(-496.7545863381049+1986.492181148487j),(347.1480907915119+927.8351183316298j),(289.02453786193166+1352.7175461375573j),(-522.411631593094+1969.89292986708j),(448.79081682917086+1777.4206220483482j),(533.0876702311713+2011.3870562535312j),(387.5366783413587+2107.5563399758958j),(29476.090409317567-4.9326512909044595j),(822.9540141572368+2182.3346771849747j),(152.58150200276287+2059.20051468553j),(443.37290218040715+1905.12476175799j),(714.3840590829147+2481.2457251114715j),(232.1689623253119+2226.3345641086626j),(238.43362308543618+2528.142267877708j),(608.6092916691762+2095.8877472695076j),(422.1339595039542+1863.8243535259476j),(678.209296981549+1975.2924043788837j),(345.4336604511832+1927.873349086476j),(586.1447758169089+2139.3246276461136j),(730.2609642947443+2710.3535912486386j),(12.373332139094913+1699.4552784318553j),(5490.418640327932-3516.498595486253j),(463.5653849293766+2050.5790958999773j),(221.76130660543035+2042.5536763492992j),(527.5800725063852+2092.018504513915j),(518.428534863938+1752.181681545258j)
(424.14035883906945+13992.462711634666j),(246.6535236432352+2223.086951882421j),(-676.154151381686+1861.6764434618358j),(293.5218608496412+1060.2010979304891j),(156.74231156892603+2586.151314462896j),(796.7154227495274+2391.393328814071j),(485.57234633705417+2192.359103740827j),(361.21910074900944+2017.713699859834j),(455.72596033623927+2190.5014253147883j),(31849.52023129906-44.824547156370215j),(271.9995735539872+1450.924021358463j),(456.30743930492554+2228.811448319272j),(222.09169407257568+2127.999621058179j),(246.76569273475297+2755.0211670488384j),(578.5615769258645+2116.9089990513135j),(149.82824872570706+2417.8324473087796j),(332.4521278739997+2333.921774267903j),(166.42236325691434+1912.4050686283758j),(175.17092267105974+2220.4979776527293j),(344.8408262304023+2180.87947006324j),(518.4255529322143+2341.0738155607287j),(175.83279948078487+2629.691517915504j),(-30.752081837711856+1573.8150908372786j),(5461.285495938795-3097.265877409435j),(470.737676097531+1980.7893001781176j),(74.83738166187257+1194.6416052106506j),(290.3498072245663+2112.9001576602777j),(202.91724720963796+1557.922934984229j)
(689.3752195534287+14666.826224264234j),(343.2248151178437+2378.356368040737j),(-724.5211672481103+1935.7203794484512j),(467.26978926917764+1166.4767884641735j),(592.0135622878144+1393.5033238165447j),(492.907657185507+2377.942487493341j),(523.788555917248+2097.022739378929j),(340.71340718817396+1892.2858440198704j),(524.7612400593647+2013.5135093667586j),(34877.268435658334-741.8046011097334j),(149.83832931651472+2266.937661180311j),(616.2624081469532+1880.0097698349866j),(614.0782391468728+2095.593213389324j),(453.8533604398382+2630.317999912715j),(535.4704530020127+2313.603061476866j),(898.7378618092921+2200.6860853778758j),(485.4014536250459+2033.4121783987025j),(480.3075475293242+2378.6168909681674j),(810.1281086952813+2003.9731188591577j),(484.90988244312535+2210.047927551606j),(749.7706845787757+2362.2760622086853j),(599.9558359045179+2765.792757350567j),(279.49777645538074+1611.916481866071j),(5356.105100555239-2613.958723176476j),(509.6983983709317+2180.7771946489033j),(-34.6870663645758+1993.4215923875831j),(538.2289711699694+2191.7108636471567j),(570.4192885245174+3392.5791960405827j)
(333.8384901842703+14448.335433511718j),(3.1658685233402935+2150.467553817059j),(-679.9737196234267+1876.6271656914555j),(85.30823523953286+948.7990383898309j),(-18.477719395776745+1224.5839067158493j),(-892.2255704835402+2975.5839991146495j),(106.03481428163411+2203.1757650970703j),(332.60714102730356+2290.24794763339j),(538.7981000107837+2118.0451331811896j),(38157.35847704767-1638.5831178025492j),(227.54300958858786+1836.7104497487505j),(714.0152011346945+1741.1932769570553j),(364.3921024014138+2019.6329949465048j),(-23.096980931901143+2934.469916175897j),(595.5699496194788+2286.394914238357j),(381.13344556521656+2747.6964247238716j),(590.0341664444709+1917.2428057066359j),(514.8610926560553+1982.4915485270371j),(581.6442036409258+2511.295885120624j),(461.5967113421301+2079.5843149438633j),(566.4729992168042+1803.8047150326247j),(472.486337249855+2647.5888197160075j),(967.5373306398803+1833.110370623499j),(4998.631922925045-2840.204280828793j),(363.1663769380532+2147.1815773435073j),(363.15539717967306+1776.6362651358963j),(445.7620429300531+2086.527849663529j),(838.2058692713719+2120.46813607384j)
(959.2405672296404+14806.02455435711j),(490.4064794092336+2194.280065701938j),(-778.1740638883967+2100.7332911373005j),(340.69583836441393+1116.0933133238964j),(-239.61324667593308+2019.4428127476688j),(597.0778770530405+2267.961868024756j),(403.3412759527504+2129.8214909328562j),(517.582836983744+2376.074996160035j),(512.1858631049352+2107.36531888597j),(42252.315655677296-3055.561533953227j),(77.63841037345497+2408.196424360235j),(61.58712018563608+2983.934282233916j),(372.93468962826665+2334.283265777017j),(446.2371917566474+2507.873509731292j),(631.286984592887+2079.486619850582j),(902.3432468981539+3117.474948957511j),(215.14465360733885+2408.0227027960364j),(510.71064356261843+2173.1666276283854j),(811.3274088242044+2274.9510069681364j),(452.845267575682+2386.061055961279j),(966.5072453776477+2354.141646158929j),(-6.5607637070913825+2641.0731276370598j),(851.6402509562565+2226.127540664581j),(4823.063387535473-2350.5442168236214j),(474.7090691671915+2186.9750400340663j),(295.07702498185506+2378.277895477833j),(445.8639488221397+2488.9554945772543j),(-277.9975566497441+1402.800084004863j)
(874.4284301829568+14256.598479274133j),(952.9470968986977+2633.459005106314j),(-520.6561441589503+2384.8719480470245j),(464.46849355175897+1212.0367134440755j),(490.26038745597197+2291.7240282595053j),(269.9757481044195+3051.643621972781j),(976.5893567684075+2438.0728961157856j),(626.1427206772738+2301.0722818403574j),(479.4805608107165+2009.3673265712691j),(47570.46389068884-5785.3836971530945j),(794.9777247675604+1696.166972080662j),(589.0441266169562+2236.9434807047282j),(719.9976717817462+2152.3934700324517j),(663.4351823519712+2692.0167606093055j),(679.9855163232307+2084.8224901248386j),(117.89389429609264+2921.7646047142875j),(828.9104694627263+1991.5087925748314j),(679.9889030420532+2336.652067811634j),(294.7971319701832+2593.3394004894094j),(713.1992565263618+2307.072634665633j),(1044.307001276576+2948.5118804983085j),(448.5968178802593+1833.713180764015j),(435.63489591839436+1883.2846047065605j),(5186.6827654723-2535.706110999796j),(480.9496972143752+2250.132734822252j),(532.5197772428598+2187.633818288577j),(674.4386722698716+2274.8205486861643j),(289.9259506858193+1189.7115466591072j)
