0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
2.1721320785,0.0404207684,-0.0219816277,-0.2014836762,-0.1386725723,-0.0862186974,-0.0376153666,0.0617110869,0.0137263147,-0.1664978497,-0.0995658187,0.1746657177,-0.0075469109,0.035022377,0.0459519655,0.1334120155,0.0158590836,0.0626794102,0.1298339063,0.0095827313,-0.0584214675,0.1714107485,-0.0702273897,-1.9624409566,0.0122711855,-0.1230276524,0.0041814992,-0.1091609033
2.1532678715,-0.0163220131,-0.0408674307,-0.1700731093,-0.0456286673,0.0185985055,0.0511770794,0.0195576375,0.0141979137,-0.1416844415,-0.060076859,-0.04032542,0.0147883656,0.0258637028,0.0023351669,0.0647491158,-0.0338064254,-0.0028100544,0.0568597005,0.0068840437,-0.0365810463,-0.0012470006,-0.0930867559,-2.000675553,0.0389347165,0.1587577524,-0.0016854498,0.0588986545
2.1746867607,-0.0099651286,-0.0238409267,-0.1772491378,0.0188747103,0.1023187349,0.0398716302,-0.0168311445,0.0220963612,-0.155667815,-0.0381259543,0.0170374963,0.0059982302,0.0182779678,0.0034349888,0.0783108356,0.0224607028,0.0388178905,0.0499854724,0.0267746587,0.0088854612,0.0057351223,-0.1103586567,-2.0085109544,-0.0152831118,-0.0523557394,-0.0047098607,-0.020668594
2.1213092871,-0.0051050312,-0.045839767,-0.1956964528,-0.0062147229,-0.0681600419,0.0252577148,0.0203883584,0.0164333089,-0.1275271407,-0.0332761307,0.0123524122,0.0226914948,0.0447035561,0.0399045668,0.043262806,0.0039408667,0.0489468225,0.1251260033,0.0123877211,0.0056342831,0.0388929062,-0.1527506198,-2.0147605838,0.0323034168,0.0435776179,0.029517747,-0.0373003988
2.225101478,-0.0328983271,-0.0272076737,-0.1957752805,0.0104709501,-0.0225079664,-0.0361244489,0.0388959486,-0.0477523397,-0.1402834764,-0.0725840869,0.0263598471,0.0107577703,0.0680109877,0.0091952129,0.0452939342,0.0645422386,0.0534629027,-0.0247138986,0.0171763375,-0.0112113388,0.0605888929,-0.068276931,-2.125195126,0.0349666014,0.1005566166,0.0191560978,0.0199950776
2.2797850735,0.0087226155,-0.0272072942,-0.1695651657,-0.001277537,-0.0496448809,0.0193512836,0.0429120254,0.0376706776,-0.1709778287,-0.089941621,0.1115083352,0.0368958221,0.0474278225,0.00744694,0.1326470532,-0.0198679635,0.03814835,0.0812629729,0.0158694102,-0.0916573159,0.0381733733,-0.1218720433,-2.1540833876,0.0230985068,-0.0458430125,0.0284067703,-0.0073889817
2.2085882167,-0.002851924,-0.0337602071,-0.161199516,-0.1074368746,-0.0233868065,0.0286127012,0.0398626385,-0.0078132506,-0.1819007453,-0.021417888,-0.0329235567,0.0322455338,0.1451123887,0.0381159944,0.0442652362,0.002883858,0.0048453091,0.0872861559,0.0200688746,0.0057454798,0.0641481664,-0.1019512771,-2.1865348177,0.0040744339,0.1029869098,0.011225664,0.0211093027
2.2174235271,-0.0052806716,-0.0263500496,-0.1633027406,-0.0214401893,-0.0103642848,0.0677848932,0.0381824099,0.0073888155,-0.1764400306,-0.023646954,0.0077645996,0.0072091786,0.067679984,-0.0124140429,0.0318551377,0.0566800988,0.0376463386,0.0784193094,0.0093918813,0.0289448037,0.1074409902,-0.1661056527,-2.1347485385,-0.0091979773,-0.0389668084,0.0095745097,0.0148714631
2.1392337223,0.0259103403,-0.0046772572,-0.1731439257,-0.0453493363,-0.0558078723,0.0608502306,0.0315787702,0.0250322423,-0.1454411418,-0.0883336608,-0.060684875,0.0274106595,0.0643979585,0.0426285149,0.0900140201,0.048351346,-0.0095986363,0.1078569939,0.0380879125,-0.0180889526,0.0507344306,-0.148706334,-2.0398403783,0.0247718241,0.0324074709,0.0263131835,-0.0459072499
2.1365854824,-0.0077344098,-0.0260025486,-0.1935918045,-0.2764596638,0.009680301,0.0290288159,0.0360013333,0.0114547383,-0.1698171992,-0.0823786431,0.1282079311,0.0110226727,0.0843319777,0.0157442465,0.1120748628,0.0040684373,0.0370839472,0.0833526479,0.0066024118,-0.0132255718,0.0874545865,-0.1451113688,-1.7713784992,0.006444649,-0.0325449968,0.010433176,-0.0913275117
2.1977391227,-0.0109899202,-0.0104281197,-0.1999357033,-0.033849261,-0.1413200918,-0.0220486545,-0.0107608844,0.0082322042,-0.1850647826,-0.022316129,-0.0950601559,0.0044216253,0.025621514,0.0126059097,0.0355853175,0.011566455,0.0263591514,-0.0123952789,0.0036961725,-0.0926430202,0.0314760383,-0.1235912388,-1.3449049628,-0.0141774042,0.0096561789,0.0142295695,-0.0617036517
2.1658344449,-0.0248319344,-0.0501934662,-0.2460219665,-0.085112126,-0.0073832467,0.0218090991,0.0139977072,-0.0319710584,-0.2442206768,-0.0909921235,0.0329241459,-0.0048305272,0.0005275886,-0.0239924875,0.0204605156,-0.0596817388,-0.0052461563,-0.0327594946,-0.0257068585,-0.1592801868,0.0111836755,-0.1850249691,-0.7643003476,-0.0065187564,-0.0432707896,-0.0263501098,-0.1490481561
2.1045885751,-0.0951440316,-0.0720320172,-0.2513291837,-0.0597262185,-0.0905081299,-0.0604044814,-0.0730454238,-0.0757070263,-0.2674729621,-0.1533811189,-0.0187733991,-0.0577766709,0.0042951924,-0.0458398581,-0.0142886983,-0.0658731299,-0.0744948294,0.0255453067,-0.0517311981,-0.0700242565,-0.0195009557,-0.1893984148,0.0293737887,-0.0784711574,-0.1217232431,-0.0500316852,-0.1071247728
2.0924738811,-0.1243147203,-0.1050562758,-0.2774528953,-0.1514372403,-0.1847439257,-0.1290241498,-0.1021505106,-0.0998605563,-0.3189956311,-0.1310296226,0.0108063998,-0.1109007045,-0.0773981358,-0.1079808872,-0.0167957222,-0.0993379121,-0.095935501,-0.0431748322,-0.0973109597,-0.1250171358,-0.0772853227,-0.2167996639,0.9964968957,-0.1247896035,-0.069488124,-0.1063924648,-0.1071046792
2.1153758529,-0.1159701459,-0.2041890829,-0.3492753112,-0.1437370387,-0.106347072,-0.1537874934,-0.1016071297,-0.1317803883,-0.3953179322,-0.2628488759,-0.0943385317,-0.1392314355,-0.1208411686,-0.1223034376,-0.050858607,-0.1555659506,-0.1285205023,-0.0986754558,-0.1247185473,-0.22833068,-0.0736434774,-0.200962748,2.0103326631,-0.1413436113,-0.1618447873,-0.1356568495,-0.1840122557
2.0537075725,-0.2073825856,-0.2158887449,-0.3675595615,-0.3714835962,-0.2279258224,-0.1089063691,-0.1671192773,-0.1836053956,-0.3954585564,-0.3022753846,-0.1571086413,-0.1558448029,-0.0679543127,-0.1878819068,-0.169305887,-0.1980111433,-0.1629968034,-0.105726724,-0.1738407035,-0.2651444965,-0.1618255619,-0.2780759611,3.0040173084,-0.1740987835,-0.1082711227,-0.1640807024,0.0200479656
2.0010691838,-0.2563586455,-0.2312564329,-0.4163090608,-0.2616604183,-0.2483728141,-0.2320465419,-0.223720603,-0.1874204419,-0.4997387917,-0.1877406643,-0.1990345487,-0.224089799,-0.1563702468,-0.1817024283,-0.1710065241,-0.1809106814,-0.2193772761,-0.1784547307,-0.2081037325,-0.2032714681,-0.0797969612,-0.3083678686,3.8390855299,-0.1928062832,-0.2352881478,-0.1933369636,-0.1636126394
2.0025752484,-0.2470613898,-0.2791349498,-0.4240319858,-0.1818777839,-0.2116346632,-0.2305288324,-0.2257181834,-0.2161736651,-0.5190428803,-0.338945268,-0.191086996,-0.229591386,-0.1292558247,-0.2128548339,-0.1522069465,-0.2131921813,-0.2372156952,-0.1767127032,-0.208066065,-0.250064031,-0.1448015406,-0.3276564054,4.4835884332,-0.233144604,-0.3830601662,-0.2263260077,-0.2967786934
1.982550202,-0.2035631073,-0.2862319662,-0.4233005938,-0.3415646548,-0.2895292352,-0.251274924,-0.2935017255,-0.2556546537,-0.6129170847,-0.2456350854,-0.167365422,-0.2476594891,-0.1990941077,-0.2272976189,-0.2155194427,-0.2585980168,-0.2226742605,-0.2869782399,-0.2291858339,-0.1982687444,-0.1380461541,-0.3535889656,4.8051556402,-0.2275438524,-0.2554062569,-0.2460581994,-0.1112482073
1.9220128468,-0.2276042231,-0.2791945325,-0.4419566486,-0.28414517,-0.1785093138,-0.2347497408,-0.2120988885,-0.22646726,-0.7057649686,-0.3088834778,-0.2453990523,-0.2473671984,-0.1929368108,-0.2366296971,-0.1302902141,-0.252688465,-0.2400486833,-0.170490084,-0.2359130895,-0.2023656272,-0.1619311808,-0.3588919703,4.8047073807,-0.2569188123,-0.2837398518,-0.2373499954,-0.1743852714
2.0103982775,-0.2108978845,-0.260549382,-0.4266569964,-0.2662106334,-0.2956444898,-0.2412871114,-0.2021043198,-0.2381901629,-0.840804792,-0.2334548609,-0.0652628679,-0.2337480892,-0.1929378003,-0.2583242732,-0.1220583232,-0.1881289234,-0.2112017858,-0.1925957463,-0.2098783298,-0.246319882,-0.1625114715,-0.2922080527,4.5557706292,-0.2360820165,-0.1928063823,-0.2138952792,-0.3324090499
